topic,question,option1,option2,option3,option4,answer,difficulty,asked_in_this_session,got_right,tag
Math,Evaluate ∫₀¹ x² dx,1/3,1/2,1/4,1,1/3,Hard,FALSE,FALSE,Math-Calculus
Math,Solve: 2sin²(x) - 1 = 0 for 0 ≤ x ≤ 2π,"x = π/4, 3π/4, 5π/4, 7π/4","x = 0, π/2, π, 3π/2","x = π/6, 5π/6, 7π/6, 11π/6","x = π/3, 2π/3, 4π/3, 5π/3","x = π/4, 3π/4, 5π/4, 7π/4",Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the 95% confidence interval for mean of sample with mean 50, SD 10, n=25?","(46.08, 53.92)","(48, 52)","(45, 55)","(47.5, 52.5)","(46.08, 53.92)",Hard,FALSE,FALSE,Math-Statistics
Math,What is the probability of exactly 3 heads in 5 coin flips?,10/32,5/16,15/32,3/8,10/32,Hard,FALSE,FALSE,Math-Probability
Math,"Find eigenvalues of [[2, 1], [1, 2]]","λ = 1, 3","λ = 2, 2","λ = 0, 4","λ = -1, 5","λ = 1, 3",Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is (1 + i)⁴?,-4,4,-4i,4i,-4,Hard,FALSE,FALSE,Math-Complex Numbers
Math,What is the volume of a cone with radius 3 and height 4?,12π,36π,9π,18π,12π,Hard,FALSE,FALSE,Math-Geometry
Math,Find the limit: lim(x→0) sin(x)/x,1,0,∞,undefined,1,Hard,FALSE,FALSE,Math-Calculus
Math,What is the derivative of ln(x²)?,2/x,2x,1/x²,x/2,2/x,Hard,FALSE,FALSE,Math-Calculus
Math,What is sin(75°)?,(√6 + √2)/4,√3/2,√2/2,1/2,(√6 + √2)/4,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the correlation coefficient if covariance = 8, σx = 4, σy = 5?",0.4,0.8,1.0,0.5,0.4,Hard,FALSE,FALSE,Math-Statistics
Math,What is P(X > 2) for Poisson distribution with λ = 1?,0.0803,0.3679,0.2642,0.9197,0.0803,Hard,FALSE,FALSE,Math-Probability
Math,"What is the inverse of [[2, 0], [0, 3]]?","[[1/2, 0], [0, 1/3]]","[[3, 0], [0, 2]]","[[2, 0], [0, 3]]","[[0, 1/2], [1/3, 0]]","[[1/2, 0], [0, 1/3]]",Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is e^(iπ/2)?,i,1,-1,-i,i,Hard,FALSE,FALSE,Math-Complex Numbers
Math,"What is the distance between (3, 4) and (7, 1)?",5,4,√25,√34,5,Hard,FALSE,FALSE,Math-Geometry
Math,Find the area under y = x² from x = 0 to x = 2,8/3,4,2,16/3,8/3,Hard,FALSE,FALSE,Math-Calculus
Math,What is the period of y = sin(2x)?,π,2π,π/2,4π,π,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the z-score for value 85 if mean = 70, SD = 5?",3,2,4,5,3,Hard,FALSE,FALSE,Math-Statistics
Math,What is the expected value of rolling a fair die?,3.5,3,4,6,3.5,Hard,FALSE,FALSE,Math-Probability
Math,"What is the rank of [[1, 2, 3], [2, 4, 6], [3, 6, 9]]?",1,2,3,0,1,Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is the magnitude of 3 + 4i?,5,7,12,25,5,Hard,FALSE,FALSE,Math-Complex Numbers
Math,"What is the equation of circle with center (2, -1) and radius 3?",(x-2)² + (y+1)² = 9,(x+2)² + (y-1)² = 9,(x-2)² + (y-1)² = 3,x² + y² = 9,(x-2)² + (y+1)² = 9,Hard,FALSE,FALSE,Math-Geometry
Math,What is the second derivative of x³?,6x,3x²,6,x,6x,Hard,FALSE,FALSE,Math-Calculus
Math,What is tan(15°)?,2 - √3,√3 - 1,1/√3,√3,2 - √3,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the standard error of mean for n=36, σ=12?",2,3,4,6,2,Hard,FALSE,FALSE,Math-Statistics
Math,"What is P(X ≤ 1) for binomial n=5, p=0.3?",0.5282,0.8369,0.1631,0.3602,0.5282,Hard,FALSE,FALSE,Math-Probability
Math,"What is the determinant of [[1, 2, 3], [0, 1, 4], [0, 0, 2]]?",2,6,8,12,2,Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is the argument of 1 + √3 i?,π/3,π/6,π/2,π/4,π/3,Hard,FALSE,FALSE,Math-Complex Numbers
Math,"What is the area of triangle with vertices (0,0), (4,0), (0,3)?",6,12,5,10,6,Hard,FALSE,FALSE,Math-Geometry
Math,What is the limit: lim(x→∞) (3x² + 2x)/(x² - 5)?,3,∞,0,undefined,3,Hard,FALSE,FALSE,Math-Calculus
Math,What is cos(15°)?,(√6 + √2)/4,(√6 - √2)/4,√3/2,√2/2,(√6 + √2)/4,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the coefficient of variation if mean = 50, SD = 10?",20%,10%,5%,25%,20%,Hard,FALSE,FALSE,Math-Statistics
Math,"What is the probability that at least one of two events occurs if P(A)=0.3, P(B)=0.4, P(A∩B)=0.1?",0.6,0.7,0.8,0.5,0.6,Hard,FALSE,FALSE,Math-Probability
Math,"What is the trace of [[2, 1], [3, 4]]?",6,5,8,7,6,Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is (2 + 3i)(2 - 3i)?,13,4 + 9i,4 - 9i,6i,13,Hard,FALSE,FALSE,Math-Complex Numbers
Math,What is the volume of a cylinder with radius 2 and height 5?,20π,10π,40π,5π,20π,Hard,FALSE,FALSE,Math-Geometry
Math,What is the integral of e^(2x)?,(1/2)e^(2x) + C,2e^(2x) + C,e^(2x) + C,e^x + C,(1/2)e^(2x) + C,Hard,FALSE,FALSE,Math-Calculus
